Comparison (group1/group2)	Group	ProteinGroups	AVG Log2 Ratio	Absolute AVG Log2 Ratio	Pvalue	Qvalue	# of Ratios	UniProtIds	Genes	ProteinDescriptions	ProteinNames	# Unique Total Peptides	% Change	Ratio	Condition Numerator	Condition Denominator	GO Cellular Component	GO Molecular Function	GO Biological Process
TLR10_WO / WT_WO	P04264	P04264	3,8656648520574213	3,8656648520574213	0,02607510429294286	0,0436042113526872	12	P04264	KRT1	Keratin, type II cytoskeletal 1	K2C1_HUMAN	34	1357,7433659101616	14,577433659101615	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P13647	P13647	2,5311848860714052	2,5311848860714052	0,026072751862111065	0,0436042113526872	12	P13647	KRT5	Keratin, type II cytoskeletal 5	K2C5_HUMAN	14	478,0462329315836	5,780462329315836	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9BTT6;Q9BTT6-2	Q9BTT6;Q9BTT6-2	2,0956139280688295	2,0956139280688295	0,026474599717054827	0,04403499563316512	11	Q9BTT6;Q9BTT6-2	LRRC1	Leucine-rich repeat-containing protein 1;Isoform 2 of Leucine-rich repeat-containing protein 1	LRRC1_HUMAN	1	327,4080048008817	4,274080048008817	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q32NC0	Q32NC0	-0,7704379832324908	0,7704379832324908	0,02680905855004259	0,04433236520496936	5	Q32NC0	C18orf21	UPF0711 protein C18orf21	CR021_HUMAN	2	-41,37605269928627	0,5862394730071373	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q9P1Q0;Q9P1Q0-2;Q9P1Q0-4	Q9P1Q0;Q9P1Q0-2;Q9P1Q0-4	-0,7874795749672028	0,7874795749672028	0,02707397422455965	0,04462572450165152	10	Q9P1Q0;Q9P1Q0-2;Q9P1Q0-4	VPS54	Vacuolar protein sorting-associated protein 54;Isoform 2 of Vacuolar protein sorting-associated protein 54;Isoform 4 of Vacuolar protein sorting-associated protein 54	VPS54_HUMAN	3	-42,064464307223226	0,5793553569277677	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q6NTF9;Q6NTF9-2;Q6NTF9-3	Q6NTF9;Q6NTF9-2;Q6NTF9-3	-0,7399339450379475	0,7399339450379475	0,02709821767410958	0,04465926549163321	6	Q6NTF9;Q6NTF9-2;Q6NTF9-3	RHBDD2	Rhomboid domain-containing protein 2;Isoform 2 of Rhomboid domain-containing protein 2;Isoform 3 of Rhomboid domain-containing protein 2	RHBD2_HUMAN	1	-40,12332332962967	0,5987667667037033	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P56377	P56377	-0,5804375394704157	0,5804375394704157	0,027935078960119066	0,045533097816522254	12	P56377	AP1S2	AP-1 complex subunit sigma-2	AP1S2_HUMAN	2	-33,12390746778643	0,6687609253221357	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q96BH1	Q96BH1	-0,5944007729605637	0,5944007729605637	0,028469167216865963	0,04606713212150652	12	Q96BH1	RNF25	E3 ubiquitin-protein ligase RNF25	RNF25_HUMAN	4	-33,76805058458328	0,6623194941541672	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q15113	Q15113	-0,5850716059183793	0,5850716059183793	0,028612335111652083	0,0462337500911588	12	Q15113	PCOLCE	Procollagen C-endopeptidase enhancer 1	PCOC1_HUMAN	14	-33,33837487335125	0,6666162512664875	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P15056	P15056	-0,7810966623340284	0,7810966623340284	0,028881423059464825	0,04649202609106707	12	P15056	BRAF	Serine/threonine-protein kinase B-raf	BRAF_HUMAN	3	-41,80757237440956	0,5819242762559044	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P48651	P48651	-0,6363749482299413	0,6363749482299413	0,029148255790283274	0,04675965681093031	12	P48651	PTDSS1	Phosphatidylserine synthase 1	PTSS1_HUMAN	3	-35,667259520900686	0,6433274047909932	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q2TB90	Q2TB90	-0,8335232944547113	0,8335232944547113	0,0291617870226496	0,04676589132595234	12	Q2TB90	HKDC1	Hexokinase HKDC1	HKDC1_HUMAN	3	-43,88428688394163	0,5611571311605837	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	A0A5B6	A0A5B6	0,7833575614432978	0,7833575614432978	0,02953616104626553	0,04709983041975236	12	A0A5B6	TRBV28	T cell receptor beta variable 28	TVB28_HUMAN	1	72,11317783239566	1,7211317783239566	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	Q969Z3	Q969Z3	-0,5836407691190147	0,5836407691190147	0,029766733820940125	0,047278849423671936	12	Q969Z3	MTARC2	Mitochondrial amidoxime reducing component 2	MARC2_HUMAN	5	-33,2722283779176	0,667277716220824	TLR10_WO	WT_WO	NaN	NaN	NaN
TLR10_WO / WT_WO	P61599	P61599	-1,0688182266061337	1,0688182266061337	0,029796625543368812	0,04728810899003422	12	P61599	NAA20	N-alpha-acetyltransferase 20	NAA20_HUMAN	5	-52,3290667806247	0,47670933219375294	TLR10_WO	WT_WO	NaN	NaN	NaN
